X;Y_22.06.2000;Y_05.07.2005;Y_11.04.2012;Y_19.10.2016;Y_15.11.2016;Y_10.05.2017;Y_21.02.2018;Y_08.08.2018;Y_13.12.2018;Y_27.12.2018;Y_03.05.2019;Y_12.07.2019;Y_02.10.2019;Y_25.03.2020;Y_31.08.2020;Y_13.11.2020;Y_15.05.2021;Y_31.08.2021
0;0;-960;-1400;-925;-1525;-1525;-1555;-1580;-1600;-1555;-1600;-1600;-1645;-1645;-1647;-1656;-1656;-1656
8,282828283;0;-955,1913984;-1396,971207;-923,7492539;-1523,690154;-1523,690154;-1550,359501;-1584,097999;-1604,095259;-1550,359497;-1600,329488;-1600,329433;-1632,494723;-1632,494732;-1638,160708;-1655,199191;-1655,190996;-1655,038134
16,56565657;0;-945,9763263;-1388,356733;-916,4895528;-1514,906423;-1514,906423;-1540,586923;-1579,39704;-1599,393614;-1540,586919;-1592,865805;-1592,865735;-1615,918654;-1615,918666;-1625,320253;-1646,465383;-1646,455136;-1646,264006
24,84848485;0;-933,3291717;-1375,326467;-904,4411948;-1500,14588;-1500,14588;-1526,651597;-1567,561209;-1587,558564;-1526,651593;-1579,126713;-1579,126659;-1596,248079;-1596,248088;-1609,294146;-1631,497594;-1631,489683;-1631,34213
33,13131313;0;-918,2243225;-1359,050301;-888,8244785;-1480,905598;-1480,905598;-1509,522853;-1550,254591;-1570,253608;-1509,522852;-1560,629977;-1560,629957;-1574,459283;-1574,459286;-1590,897894;-1611,994842;-1611,9919;-1611,937021
41,41414141;0;-901,6361666;-1340,698126;-870,8597021;-1458,68265;-1458,68265;-1490,170022;-1529,141272;-1549,142242;-1490,170023;-1538,89336;-1538,89338;-1551,528551;-1551,528548;-1570,947006;-1589,656145;-1589,659048;-1589,713194
49,6969697;0;-884,539092;-1321,439832;-851,7671641;-1434,974108;-1434,974108;-1469,562434;-1505,885337;-1525,887967;-1469,562438;-1515,434627;-1515,43468;-1528,43217;-1528,432161;-1550,256992;-1566,180523;-1566,188392;-1566,335165
57,97979798;0;-867,9074867;-1302,445309;-832,7671629;-1411,277045;-1411,277045;-1448,669421;-1482,150871;-1502,154281;-1448,669426;-1491,771541;-1491,77161;-1506,146424;-1506,146413;-1529,64336;-1543,266993;-1543,277194;-1543,467447
66,26262626;0;-852,7157385;-1284,88445;-815,0799967;-1389,088534;-1389,088534;-1428,460312;-1459,60196;-1479,604682;-1428,460316;-1469,421866;-1469,421921;-1485,6476;-1485,647591;-1509,92162;-1522,614574;-1522,622715;-1522,774557
74,54545455;0;-839,9382353;-1269,927144;-799,925964;-1369,905646;-1369,905646;-1409,904439;-1439,902689;-1459,902668;-1409,904439;-1449,903366;-1449,903365;-1467,911982;-1467,911982;-1491,907279;-1505,922285;-1505,92222;-1505,921008
82,82828283;0;-829,8991828;-1258,006715;-787,9046348;-1354,436507;-1354,436507;-1393,438587;-1423,925766;-1443,920954;-1393,438581;-1433,979525;-1433,979428;-1453,265245;-1453,265261;-1475,838902;-1493,93959;-1493,925198;-1493,656759
91,11111111;0;-820,3645228;-1246,658321;-777,173208;-1340,284982;-1340,284982;-1377,404147;-1409,430069;-1429,420771;-1377,404135;-1419,44598;-1419,445792;-1439,473114;-1439,473146;-1459,684949;-1483,679766;-1483,651957;-1483,133278
99,39393939;0;-808,4710746;-1232,704414;-765,2882601;-1324,291539;-1324,291539;-1359,627215;-1393,408731;-1413,39818;-1359,627201;-1403,368519;-1403,368305;-1423,671777;-1423,671812;-1440,855622;-1471,237289;-1471,205729;-1470,617098
107,6767677;0;-791,3556574;-1212,967441;-749,8063675;-1303,296651;-1303,296651;-1337,933886;-1372,854887;-1392,84924;-1337,933878;-1382,81293;-1382,812816;-1402,99742;-1402,997439;-1416,761125;-1452,706638;-1452,689749;-1452,374752
115,959596;0;-766,2700163;-1184,386066;-728,3633834;-1274,248126;-1274,248126;-1310,213296;-1344,863257;-1364,871305;-1310,213306;-1354,942;-1354,942163;-1374,681662;-1374,681635;-1384,914898;-1424,325269;-1424,349341;-1424,805258
124,2424242;0;-733,0821399;-1146,544485;-700,3998726;-1236,537308;-1236,537308;-1275,789649;-1308,841169;-1328,867581;-1275,789684;-1319,126631;-1319,127166;-1338,128558;-1338,128469;-1345,180547;-1385,585481;-1385,664481;-1387,323559
132,5252525;0;-694,2613218;-1101,657324;-667,1508063;-1191,985118;-1191,985118;-1235,414027;-1266,495353;-1286,533968;-1235,414078;-1276,933236;-1276,934017;-1294,902199;-1294,902069;-1299,758427;-1339,215828;-1339,331327;-1342,3433
140,8080808;0;-652,3887936;-1052,052399;-629,9283717;-1142,51703;-1142,51703;-1189,898911;-1219,631485;-1239,665021;-1189,898956;-1230,0227;-1230,023379;-1246,659625;-1246,659512;-1250,949448;-1288,084126;-1288,184435;-1292,407169
149,0909091;0;-610,0457866;-1000,057527;-590,0447558;-1090,058514;-1090,058514;-1140,056784;-1170,055241;-1190,055298;-1140,056784;-1180,055912;-1180,055913;-1195,057874;-1195,057874;-1201,054516;-1235,058189;-1235,058358;-1240,057851
157,3737374;0;-569,3457338;-947,795434;-548,7829831;-1036,442863;-1036,442863;-1086,986674;-1119,445123;-1139,380928;-1086,98659;-1128,674774;-1128,673475;-1141,813816;-1141,814032;-1152,083249;-1182,680516;-1182,488506;-1187,645044
165,6565657;0;-530,5247021;-896,5657718;-507,3090419;-983,1334463;-983,1334463;-1032,93758;-1068,96925;-1088,842778;-1032,937413;-1077,445003;-1077,442443;-1088,884418;-1088,884844;-1104,87625;-1132,188043;-1131,809757;-1136,743951
173,9393939;0;-493,3478691;-847,4617471;-466,7595653;-931,5008425;-931,5008425;-980,44694;-1019,66773;-1039,522506;-980,4467485;-1027,913204;-1027,910265;-1038,286873;-1038,287362;-1059,980908;-1084,49024;-1084,055868;-1088,735509
