X;2000-06-22;2000-12-22;2001-06-22;2001-12-22;2002-06-22;2002-12-22;2003-06-22;2003-12-22;2004-06-22;2004-12-22;2005-05-07;2005-06-22;2005-12-22;2006-06-22;2006-12-22;2007-06-22;2007-12-22;2008-06-22;2008-12-22;2009-06-22;2009-12-22;2010-06-22;2010-12-22;2011-06-22;2011-12-22;2012-04-11;2012-06-22;2012-12-22;2013-06-22;2013-12-22;2014-06-22;2014-12-22;2015-06-22;2015-12-22;2016-06-22;2016-10-19;2016-11-15;2016-12-22;2017-05-10;2017-06-22;2017-12-22;2018-02-21;2018-06-22;2018-08-08;2018-12-13;2018-12-22;2018-12-27;2019-05-03;2019-06-22;2019-07-12;2019-10-02;2019-12-22;2020-03-25;2020-06-22;2020-08-31;2020-11-13;2020-12-22;2021-05-15;2021-06-22;2021-08-31
0,000000;0,000000;-95,098315;-189,676966;-284,775281;-379,353933;-474,452247;-569,030899;-664,129213;-759,227528;-854,325843;-925,000000;-925,636112;-928,166733;-930,683524;-933,214145;-935,730936;-938,261557;-940,792177;-943,322797;-945,839589;-948,370209;-950,887001;-953,417621;-955,934413;-958,465034;-960,000000;-979,176755;-1027,917676;-1076,392252;-1125,133172;-1173,607748;-1222,348668;-1270,823245;-1319,564165;-1368,305085;-1400,000000;-1525,000000;-1525,000000;-1525,000000;-1529,494774;-1548,623693;-1555,000000;-1573,005952;-1580,000000;-1600,000000;-1571,071429;-1555,000000;-1600,000000;-1600,000000;-1600,000000;-1645,000000;-1645,000000;-1645,000000;-1646,119497;-1647,000000;-1656,000000;-1656,000000;-1656,000000;-1656,000000;-1656,000000
8,282828;0,000000;-94,969727;-189,420493;-284,390220;-378,840986;-473,810713;-568,261479;-663,231206;-758,200933;-853,170659;-923,749254;-924,320703;-926,594079;-928,855031;-931,128406;-933,389358;-935,662733;-937,936109;-940,209484;-942,470436;-944,743811;-947,004763;-949,278139;-951,539091;-953,812466;-955,191398;-974,445724;-1023,383802;-1072,054459;-1120,992537;-1169,663194;-1218,601272;-1267,271929;-1316,210007;-1365,148085;-1396,971207;-1523,690154;-1523,690154;-1523,690154;-1527,685910;-1544,691103;-1550,359501;-1574,659253;-1584,097999;-1604,095259;-1569,550841;-1550,359497;-1600,329488;-1600,329449;-1600,329433;-1632,494723;-1632,494727;-1632,494732;-1635,666253;-1638,160708;-1655,199191;-1655,197445;-1655,190996;-1655,137211;-1655,038134
16,565657;0,000000;-94,223364;-187,931847;-282,155211;-375,863693;-470,087057;-563,795540;-658,018904;-752,242268;-846,465632;-916,489553;-917,025464;-919,157459;-921,277804;-923,409799;-925,530144;-927,662139;-929,794134;-931,926129;-934,046474;-936,178469;-938,298814;-940,430809;-942,551154;-944,683149;-945,976326;-965,256828;-1014,261438;-1062,998262;-1112,002871;-1160,739696;-1209,744305;-1258,481129;-1307,485739;-1356,490348;-1388,356733;-1514,906423;-1514,906423;-1514,906423;-1518,754024;-1535,128698;-1540,586923;-1568,539448;-1579,397040;-1599,393614;-1561,589310;-1540,586919;-1592,865805;-1592,865755;-1592,865735;-1615,918654;-1615,918660;-1615,918666;-1621,181190;-1625,320253;-1646,465383;-1646,463199;-1646,455136;-1646,387887;-1646,264006
24,848485;0,000000;-92,984685;-185,461256;-278,445941;-370,922512;-463,907197;-556,383769;-649,368453;-742,353138;-835,337823;-904,441195;-904,966223;-907,054923;-909,132210;-911,220910;-913,298196;-915,386896;-917,475596;-919,564296;-921,641582;-923,730282;-925,807569;-927,896269;-929,973555;-932,062255;-933,329172;-952,592976;-1001,555146;-1050,249764;-1099,211934;-1147,906551;-1196,868721;-1245,563339;-1294,525509;-1343,487679;-1375,326467;-1500,145880;-1500,145880;-1500,145880;-1504,117120;-1521,017978;-1526,651597;-1556,116258;-1567,561209;-1587,558564;-1548,404083;-1526,651593;-1579,126713;-1579,126674;-1579,126659;-1596,248079;-1596,248083;-1596,248088;-1603,550598;-1609,294146;-1631,497594;-1631,495908;-1631,489683;-1631,437766;-1631,342130
33,131313;0,000000;-91,379146;-182,258952;-273,638098;-364,517904;-455,897050;-546,776856;-638,156002;-729,535148;-820,914294;-888,824479;-889,358810;-891,484520;-893,598614;-895,724323;-897,838417;-899,964127;-902,089837;-904,215547;-906,329640;-908,455350;-910,569444;-912,695154;-914,809248;-916,934958;-918,224322;-937,437077;-986,269495;-1034,835069;-1083,667486;-1132,233060;-1181,065478;-1229,631052;-1278,463470;-1327,295887;-1359,050301;-1480,905598;-1480,905598;-1480,905598;-1485,193201;-1503,440440;-1509,522853;-1538,859402;-1550,254591;-1570,253608;-1531,212408;-1509,522852;-1560,629977;-1560,629963;-1560,629957;-1574,459283;-1574,459284;-1574,459286;-1583,660771;-1590,897894;-1611,994842;-1611,994215;-1611,991900;-1611,972591;-1611,937021
41,414141;0,000000;-89,532205;-178,575164;-268,107369;-357,150327;-446,682533;-535,725491;-625,257696;-714,789902;-804,322107;-870,859702;-871,419053;-873,644297;-875,857382;-878,082626;-880,295710;-882,520954;-884,746199;-886,971443;-889,184527;-891,409771;-893,622856;-895,848100;-898,061184;-900,286428;-901,636167;-920,772039;-969,409048;-1017,780281;-1066,417289;-1114,788522;-1163,425531;-1211,796764;-1260,433773;-1309,070781;-1340,698126;-1458,682650;-1458,682650;-1458,682650;-1463,400270;-1483,477584;-1490,170022;-1518,238601;-1529,141272;-1549,142242;-1511,231530;-1490,170023;-1538,893360;-1538,893374;-1538,893380;-1551,528551;-1551,528550;-1551,528548;-1562,397999;-1570,947006;-1589,656145;-1589,656764;-1589,659048;-1589,678099;-1589,713194
49,696970;0,000000;-87,569321;-174,660121;-262,229442;-349,320241;-436,889562;-523,980362;-611,549683;-699,119004;-786,688325;-851,767164;-852,362782;-854,732305;-857,088880;-859,458403;-861,814978;-864,184501;-866,554024;-868,923547;-871,280122;-873,649645;-876,006219;-878,375742;-880,732317;-883,101840;-884,539092;-903,580771;-951,978371;-1000,111503;-1048,509103;-1096,642236;-1145,039836;-1193,172968;-1241,570568;-1289,968169;-1321,439832;-1434,974108;-1434,974108;-1434,974108;-1440,156331;-1462,210908;-1469,562434;-1495,723572;-1505,885337;-1525,887967;-1489,678698;-1469,562438;-1515,434627;-1515,434665;-1515,434680;-1528,432170;-1528,432166;-1528,432161;-1540,648576;-1550,256992;-1566,180523;-1566,182200;-1566,188392;-1566,240034;-1566,335165
57,979798;0,000000;-85,615950;-170,764053;-256,380003;-341,528106;-427,144056;-512,292159;-597,908109;-683,524059;-769,140009;-832,767163;-833,405825;-835,946592;-838,473474;-841,014240;-843,541122;-846,081889;-848,622655;-851,163421;-853,690303;-856,231069;-858,757952;-861,298718;-863,825600;-866,366366;-867,907487;-886,846181;-934,982029;-982,854840;-1030,990689;-1078,863500;-1126,999348;-1174,872159;-1223,008007;-1271,143856;-1302,445309;-1411,277045;-1411,277045;-1411,277045;-1416,879387;-1440,721913;-1448,669421;-1472,784037;-1482,150871;-1502,154281;-1467,771160;-1448,669426;-1491,771541;-1491,771590;-1491,771610;-1506,146424;-1506,146419;-1506,146413;-1519,298792;-1529,643360;-1543,266993;-1543,269167;-1543,277194;-1543,344135;-1543,467447
66,262626;0,000000;-83,797550;-167,137190;-250,934741;-334,274381;-418,071931;-501,411571;-585,209121;-669,006671;-752,804222;-815,079997;-815,764013;-818,485206;-821,191530;-823,912723;-826,619047;-829,340240;-832,061434;-834,782627;-837,488951;-840,210144;-842,916468;-845,637661;-848,343985;-851,065179;-852,715739;-871,551179;-919,424589;-967,036396;-1014,909807;-1062,521614;-1110,395025;-1158,006832;-1205,880242;-1253,753653;-1284,884450;-1389,088534;-1389,088534;-1389,088534;-1394,987442;-1420,092094;-1428,460312;-1450,889713;-1459,601960;-1479,604682;-1446,726161;-1428,460316;-1469,421866;-1469,421905;-1469,421921;-1485,647600;-1485,647596;-1485,647591;-1499,234941;-1509,921620;-1522,614574;-1522,616309;-1522,622715;-1522,676141;-1522,774557
74,545455;0,000000;-82,239579;-164,029762;-246,269342;-328,059525;-410,299104;-492,089287;-574,328866;-656,568446;-738,808025;-799,925964;-800,653172;-803,546197;-806,423413;-809,316438;-812,193654;-815,086678;-817,979703;-820,872728;-823,749944;-826,642969;-829,520184;-832,413209;-835,290425;-838,183450;-839,938235;-858,678672;-906,310615;-953,682275;-1001,314218;-1048,685877;-1096,317821;-1143,689480;-1191,321423;-1238,953367;-1269,927144;-1369,905646;-1369,905646;-1369,905646;-1375,898497;-1401,402953;-1409,904439;-1431,510321;-1439,902689;-1459,902668;-1427,760949;-1409,904439;-1449,903366;-1449,903365;-1449,903365;-1467,911982;-1467,911982;-1467,911982;-1481,343312;-1491,907279;-1505,922285;-1505,922271;-1505,922220;-1505,921794;-1505,921008
82,828283;0,000000;-81,003679;-161,564714;-242,568393;-323,129429;-404,133108;-484,694143;-565,697822;-646,701501;-727,705180;-787,904635;-788,667870;-791,704221;-794,723979;-797,760329;-800,780087;-803,816437;-806,852787;-809,889137;-812,908896;-815,945246;-818,965004;-822,001354;-825,021112;-828,057462;-829,899183;-848,557622;-895,981157;-943,145546;-990,569080;-1037,733469;-1085,157003;-1132,321392;-1179,744926;-1227,168461;-1258,006715;-1354,436507;-1354,436507;-1354,436507;-1360,280024;-1385,148946;-1393,438587;-1415,396615;-1423,925766;-1443,920954;-1411,468000;-1393,438581;-1433,979525;-1433,979456;-1433,979428;-1453,265245;-1453,265252;-1453,265261;-1465,900821;-1475,838902;-1493,939590;-1493,936523;-1493,925198;-1493,830747;-1493,656759
91,111111;0,000000;-79,900392;-159,364169;-239,264561;-318,728338;-398,628730;-478,092507;-557,992899;-637,893290;-717,793682;-777,173208;-777,958194;-781,081075;-784,186890;-787,309771;-790,415587;-793,538467;-796,661348;-799,784228;-802,890044;-806,012924;-809,118740;-812,241620;-815,347436;-818,470317;-820,364523;-838,943914;-886,166532;-933,131103;-980,353721;-1027,318292;-1074,540910;-1121,505481;-1168,728099;-1215,950717;-1246,658321;-1340,284982;-1340,284982;-1340,284982;-1345,846390;-1369,514708;-1377,404147;-1400,470436;-1409,430069;-1429,420771;-1395,981505;-1377,404135;-1419,445980;-1419,445846;-1419,445792;-1439,473114;-1439,473129;-1439,473146;-1450,786671;-1459,684949;-1483,679766;-1483,673839;-1483,651957;-1483,469459;-1483,133278
99,393939;0,000000;-78,678512;-156,927087;-235,605599;-313,854174;-392,532686;-470,781261;-549,459773;-628,138285;-706,816798;-765,288260;-766,073092;-769,195358;-772,300562;-775,422828;-778,528033;-781,650298;-784,772564;-787,894830;-791,000035;-794,122301;-797,227505;-800,349771;-803,454975;-806,577241;-808,471075;-826,960663;-873,955034;-920,692606;-967,686977;-1014,424548;-1061,418919;-1108,156491;-1155,150862;-1202,145233;-1232,704414;-1324,291539;-1324,291539;-1324,291539;-1329,585734;-1352,116845;-1359,627215;-1383,957950;-1393,408731;-1413,398180;-1378,831122;-1359,627201;-1403,368519;-1403,368366;-1403,368305;-1423,671777;-1423,671793;-1423,671812;-1433,290423;-1440,855622;-1471,237289;-1471,230563;-1471,205729;-1470,998618;-1470,617098
107,676768;0,000000;-77,086834;-153,752429;-230,839264;-307,504859;-384,591693;-461,257288;-538,344122;-615,430957;-692,517791;-749,806367;-750,561511;-753,565667;-756,553407;-759,557564;-762,545304;-765,549461;-768,553617;-771,557774;-774,545514;-777,549671;-780,537411;-783,541567;-786,529308;-789,533464;-791,355657;-809,730989;-856,434958;-902,883714;-949,587683;-996,036439;-1042,740407;-1089,189163;-1135,893132;-1182,597101;-1212,967441;-1303,296651;-1303,296651;-1303,296651;-1308,486202;-1330,571965;-1337,933886;-1363,085321;-1372,854887;-1392,849240;-1357,546507;-1337,933878;-1382,812930;-1382,812849;-1382,812816;-1402,997420;-1402,997429;-1402,997439;-1410,701641;-1416,761125;-1452,706638;-1452,703039;-1452,689749;-1452,578917;-1452,374752
